Software Name	 Version	Manufacturer
@RISK 7.5	7.5.00104.0	@RISK
2011 Electronic Benchbook Thumbdrive Edition	1.1	
2D Barcode for PaperStream	1.0.2.1	2D Barcode for PaperStream
2D Barcode Setting Utility(For CF-H2)	1.30.1200.00	
3D ICC Terf	1.6.27	3D ICC Terf
3D ICC Terf	1.6.27	3D ICC Terf
3Dconnexion 3DxWinCore	17.2.0.11011	
3dicc Immersive Terf	1.0.16-SSL	3dicc Immersive Terf
64 Bit HP CIO Components Installer	21.2.1	HP Inc.
64 Bit HP CIO Components Installer	15.2.1	Hewlett-Packard
64 Bit HP CIO Components Installer	20.2.1	HP Inc.
64 Bit HP CIO Components Installer	13.2.1	Hewlett-Packard
64 Bit HP CIO Components Installer	17.2.1	Hewlett-Packard
64 Bit HP CIO Components Installer	21.2.1	
64 Bit HP CIO Components Installer	18.2.4	
64 Bit HP CIO Components Installer	17.2.1	
64 Bit HP CIO Components Installer	8.2.1	
64 Bit HP CIO Components Installer	4.2.1	
64 Bit HP CIO Components Installer	13.2.1	
"7SC Configuration Management Baseline Applications:
AGM Windows OS, Cached MS/ARMY Issuance License Token Activation Key, DoD Root Certificates - DISA Install Root - NIPR, MS Net Banner, NETCOM Logoff Banner, NETCOM Logon Banner, MS S/MIME Edge, ActivIdentity ActivClient, MS Office 365 and TEAMS, AESD System Information Tool, BeyondTrust Automatic Elevation Service, BeyondTrust Button, BeyondTrust Virtual Smartcard Customer, Axway NIPR Desktop Validator, Adobe Reader DC, Adobe Acrobat Pro DC, UDVI for Axway Desktop Validator, Alert Client, Cisco Secure Client, Cisco AnyConnect SBL, Google Chrome, Mizilla Firefox, Oracle Java, Trellix Suite"		
7-Zip	23.x (or higher)	7-Zip
Card Issuance Workstation (CIW)	Any Supported Version	90 Meter
Smart Card Manager (SCM)	Any Supported Version	90 Meter
A360 Desktop	6.0.3.1100	A360 Desktop
A360 Desktop	6.0.3.1100	
ACA & MEP 2016 Object Enabler	7.8.41.0	
ACA & MEP 2018 Object Enabler	8.0.40.0	
ACAD Private	22.0.49.0	
ACAD Private	20.1.49.0	
AccelerometerP11	2.00.10.34	AccelerometerP
ACCM	3.2.0.18	USAF
ACCM	3.0.5.4	USAF
ACCM	3.0.4.1	USAF
ACCM	3.2.0.18	
ACCM	3.0.5.4	
Accusoft Prizm Viewer 10 PDF MSI	10.0.4.63	Accusoft
Accusoft Prizm Viewer 10 PDF MSI	10.0.1	Accusoft
ACIM	1.0.9.10	ACIM
ACS Unified PC/SC Driver 4.0.0.4	4.0.4	ACS Unified PC/SC Driver
ActivClient CAC x64	6.2	ActivClient CAC x
ActivClient CAC x64	6.2	
ActivClient CAC x86	6.2	ActivClient CAC x
ActivClient x64	7.0.2	ActivIdentity
Active Directory Authentication Library for SQL Server	14.0.1000.169	Microsoft Corporation
Active Directory Migration Tool	6.0.6001.16640	Microsoft Corporation
Active Pen	7.3.4-51	
ActiveRoles Direct	5.2.0.910	Quest Software
ActiveRoles Direct	5.2.0.910	ActiveRoles Direct
ActivID ActivClient x64	7.1.0	HID Global Corporation
ActivID ActivClient x64	7.1.0	HIDGlobal
ActivID ActivClient x64	7.1.0	
ActivID ActivClient x64	7.1.0	
Acuant SDK Version 10.07.16.01		Acuant
Acuant SDK Version 10.07.16.01	10.07.16.01	Acuant
Acuant SDK Version 10.07.16.01	10.07.16.01	Acuant SDK Version
Acuant SDK Version 10.07.16.01	10.07.16.01	
Acuant SDK Version 10.07.16.01	10.07.16.01	Acuant SDK Version
Acuant SDK Version 10.07.16.01		
AD LDS Instance VMwareVDMDS		Microsoft Corporation
AD LDS Instance VMwareVDMDS	N/A	
AD LDS Instance VMwareVDMDS	N/A	
Add or Remove Adobe Creative Suite 3 Design Standard	1	Adobe
Adobe Acrobat DC	18.009.20044	Adobe
Adobe Acrobat DC	17.012.20098	Adobe
Adobe Acrobat DC	18.009.20050	Adobe
Adobe Acrobat DC	17.012.20095	Adobe
Adobe Acrobat DC	18.011.20055	
Adobe Acrobat DC	18.011.20058	
Adobe Acrobat DC	18.011.20040	
Adobe Acrobat DC	18.011.20035	
Adobe Acrobat Reader DC	18.009.20044	Adobe
Adobe Acrobat Reader DC	18.009.20050	Adobe
Adobe Acrobat Reader DC	17.012.20098	Adobe
Adobe Acrobat Reader DC	17.012.20093	Adobe
Adobe Acrobat Reader DC	15.007.20033	Adobe
Adobe Acrobat Reader DC	18.011.20055	
Adobe Acrobat Reader DC	18.011.20058	
Adobe Acrobat Reader DC	18.011.20036	
Adobe Acrobat XI Pro	11.0.22	Adobe
Adobe Acrobat XI Pro	11.0.19	Adobe
Adobe Acrobat XI Pro	11.0.20	Adobe
Adobe Acrobat XI Pro	11.0.23	Adobe
Adobe After Effects CC	12.1	Adobe
Adobe After Effects CC 2015	13.7.1	Adobe
Adobe After Effects CC 2015	13.5.0	Adobe
Adobe After Effects CC 2015	13.5.0	
Adobe AIR	27.0.0.124	Adobe
Adobe AIR	25.0.0.134	Adobe
Adobe AIR	30.0.0.107	
Adobe AIR	27.0.0.124	
Adobe AIR	29.0.0.112	
Adobe Animate CC 2015	15.1	Adobe
Adobe Animate CC 2015	15.1	
Adobe Animate CC 2018	18	Adobe
Adobe Audition CC	6	Adobe
Adobe Audition CC 2015	8.1.0	Adobe
Adobe Audition CC 2015	8	
Adobe Bridge CC (64 Bit)	6.2	Adobe
Adobe Bridge CC (64 Bit)	6	Adobe
Adobe Bridge CC (64 Bit)	6.2	
Adobe Bridge CC 2015	6.3.1	Adobe
Adobe Bridge CC 2017	7	
Adobe Community Help	3.4.0.941	Adobe
Adobe Community Help	3.4.980	Adobe
Adobe Community Help	3.0.0.400	Adobe
Adobe Connect	11.9.982.438	Adobe
Adobe Connect 9 Add-in	11,9,980,387	Adobe
Adobe Connect application	11.9.982	Adobe
Adobe Content Viewer	1.4.0	Adobe
Adobe Creative Cloud	3.4.3.189	Adobe
Adobe Creative Cloud	4.3.0.256	Adobe
Adobe Creative Cloud	4.6.1.393	Adobe
Adobe Creative Cloud 	2018	Adobe
Adobe Creative Cloud - includes Photoshop, Lightroom, Illustrator, InDesign, Dimension, Acrobat Pro DC, InCopy, Bridge, Premiere Pro, After Effects, Audition, Premiere Rush, Media Encoder, Prelude, Dreamweaver, Animate, XD, Spark, Flash Builder, Scout, Capture, Photoshop Lightroom, Photoshop Mix & Fix, Illustrator Draw, Photoshop Sketch, Comp, Rush, Prelude Live Logger, Libraries, Assets, Market, CreativeSync, Stock, Lightroom Photos, Fonts, Behance, Portfolio	2022	Adobe
Adobe Creative Suite 5.5 Design Premium	5.5	Adobe
Adobe Creative Suite 5.5 Web Premium	5.5	Adobe
Adobe Digital Editions 4.5	4.5.7	Adobe
Adobe Digital Editions 4.5	4.5.6	Adobe
Adobe Digital Editions 4.5	4.5.5	Adobe
Adobe Digital Editions 4.5	4.5.8	Adobe
Adobe Dreamweaver CC	13	Adobe
Adobe Dreamweaver CC 2015	16.1.2	Adobe
Adobe Dreamweaver CC 2015	16.0.0	Adobe
Adobe Dreamweaver CC 2015	16.1.3	Adobe
Adobe Dreamweaver CC 2018	18	Adobe
Adobe Dreamweaver CC 2018	18.1	Adobe
Adobe Edge Animate CC	3	Adobe
Adobe Edge Animate CC	2.0.1	Adobe
Adobe Edge Animate CC 2015	6	Adobe
Adobe Edge Animate CC 2015	6	Adobe
Adobe Exchange Panel	1	Adobe
Adobe Experience Manager (AEM) Forms Designer	6.x	Adobe
Adobe ExtendScript Toolkit CC	4.0.0.0	Adobe
Adobe Extension Manager CC	7.1	Adobe
Adobe Fireworks CS6	12.0.1	Adobe
Adobe Fireworks CS6	12.0.0	Adobe
Adobe Fireworks CS6	12.0.1	Adobe
Adobe Flash Builder 4.7 (64 Bit)	4.7	Adobe
Adobe Flash Player 25 ActiveX	25.0.0.127	Adobe
Adobe Flash Professional CC	13	Adobe
Adobe Flash Professional CC 2015	15	Adobe
Adobe Help Manager	4.0.244	Adobe
Adobe Illustrator CC	17	Adobe
Adobe Illustrator CC 2015	19.2.1	Adobe
Adobe Illustrator CC 2015	19	Adobe
Adobe Illustrator CC 2015	19.2.1	Adobe
Adobe Illustrator CC 2015.3	20.1.0	Adobe
Adobe Illustrator CC 2017	21.1.0	Adobe
Adobe Illustrator CC 2018	22.0.1	Adobe
Adobe Illustrator CS5	15	Adobe
Adobe Illustrator CS6	16	Adobe
Adobe InCopy CC	9	Adobe
Adobe InCopy CC 2015	11.0.1.105	Adobe
Adobe InCopy CC 2015	11.4.0.090	Adobe
Adobe InCopy CC 2015	11	Adobe
Adobe InCopy CC 2015	11.0.1.105	Adobe
Adobe InCopy CC 2017	12	Adobe
Adobe InCopy CC 2018	13.0.1	Adobe
Adobe InDesign CC	9	Adobe
Adobe InDesign CC 2015	11.3.0.034	Adobe
Adobe InDesign CC 2015	11.4.1.102	Adobe
Adobe InDesign CC 2015	11	Adobe
Adobe InDesign CC 2015	11.3.0.034	Adobe
Adobe InDesign CC 2018	13.0.1	Adobe
Adobe InDesign CC 2018	13.1	Adobe
Adobe Lightroom	6.5.1	Adobe
Adobe Lightroom	6.13	Adobe
Adobe Lightroom	6.14	Adobe
Adobe LiveCycle Designer ES3	10	Adobe
Adobe LiveCycle Designer ES3	10	Adobe
Adobe Media Encoder CC 2015	9.2.0	Adobe
Adobe Media Encoder CC 2015	9.0.0	Adobe
Adobe Media Encoder CC 2015	9.0.0	Adobe
Adobe Media Encoder CC 2018	12.0.0	Adobe
Adobe Media Player	1.8	Adobe
Adobe Media Player	1.1	Adobe
Adobe Muse	7	Adobe
Adobe Muse CC 2015	2015.1.2.44	Adobe
Adobe Muse CC 2015	2015.2.1.21	Adobe
Adobe Muse CC 2015	2015.1.2.44	Adobe
Adobe Muse CC 2017	2017.1.0.821	Adobe
Adobe PDF iFilter 11 for 64-bit platforms	11.0.00	Adobe
Adobe PDF iFilter 11 for 64-bit platforms	11.0.00	Adobe
Adobe PDF iFilter 11 for 64-bit platforms	11.0.00	Adobe
Adobe Photoshop CC	14	Adobe
Adobe Photoshop CC 2015	16.1.2	Adobe
Adobe Photoshop CC 2015.5	17.0.2	Adobe
Adobe Photoshop CC 2018	19.0.1	Adobe
Adobe Photoshop CC 2018	19.1.5	Adobe
Adobe Prelude CC	2.1	Adobe
Adobe Prelude CC 2015	4.3.0	Adobe
Adobe Prelude CC 2015	4.0.0	Adobe
Adobe Premiere Pro CC	7.1	Adobe
Adobe Premiere Pro CC 2015	9.2.0	Adobe
Adobe Premiere Pro CC 2015	9.0.0	Adobe
Adobe Refresh Manager	1.8.0	Adobe
Adobe Shockwave Player 12.1	12.1.3.153	Adobe
Adobe Shockwave Player 12.2	12.2.9.199	Adobe
Adobe Shockwave Player 12.2	12.2.8.198	Adobe
Adobe Shockwave Player 12.3	12.3.1.201	Adobe
Adobe Shockwave Player 12.3	12.3.1.201	Adobe
Adobe Shockwave Player 12.3	12.3.4.204	Adobe
Adobe Shockwave Player 12.3	12.3.3.203	Adobe
Adobe Shockwave Player 12.3	12.3.2.202	Adobe
Adobe SpeedGrade CC	7.1	Adobe
Adobe SpeedGrade CC 2015	9.0.0	Adobe
Adobe SpeedGrade CC 2015	9.1.0	Adobe
Adobe Widget Browser	2.0 Build 230	Adobe
Adobe-AcrobatPro-DC-x64-JELA	1.0.0000	Adobe
ADP KCML Client 06.00		
ADP KCML Client 06.00	6	ADP KCML Client
ADP KCML Client 06.00	6	ADP KCML Client
ADP KCML Client 06.00	6	
ADP KCML Client shell extensions 06.90		
ADP KCML Client shell extensions 06.90	6.9	
ADP KCML Client shell extensions 06.90	6.9	
ADP KCML Server 06.00		
ADP KCML Server 06.00	6	ADP KCML Server
ADP KCML Server 06.00	6	
ADP Kisam ODBC 32/64-bit Drivers	07.03.00.18034	ADP DSI
Advantech BioDAQ SDK	3.0.2.0	Advantech
Advantech BioDAQ SDK	3.0.2.0	Advantech BioDAQ SDK
Advantech BioDAQ SDK	3.0.2.0	
Advantech PCI-1761/PCM-3761I Windows Driver	3.0.2.0	Advantech
Advantech PCI-1761/PCM-3761I Windows Driver	3.0.2.0	Microsoft
Advantech PCI-1761/PCM-3761I Windows Driver	3.0.2.0	Microsoft
AECOsim Building Designer V8i (SELECTseries 6) 08.11.09.866	08.11.09.866	AECOsim
AECOsim Energy Simulator V8i (SELECTseries 6) 08.11.09.248	08.11.09.248	AECOsim
AFPL Ghostscript 8.00	8	AFPL Ghostscript
